type,node,n,pos,neg,neutral,unknown,positive_share_among_directional,polarization_entropy
评价对象,专业,7510,2578,3084,1285,563,0.4553161427057577,0.9942312010526383
评价对象,学科,1095,356,516,195,28,0.40825688073394495,0.9755761077787191
评价对象,未明确,7253,1319,658,906,4370,0.6671724835609509,0.9177891864421183
评价对象,知识,1658,607,615,370,66,0.4967266775777414,0.9999690838640983
评价对象,职业,6915,2349,3082,1192,292,0.4325170318541705,0.9868198890604153
评价对象,能力,2489,1307,832,276,74,0.6110331930808789,0.9641295549125806
评价对象,行业,2248,579,1397,232,40,0.2930161943319838,0.8725856571146432
评价对象,课程,1797,541,756,396,104,0.4171164225134927,0.9800864799329346
评价依据,AI与平台可替代性,748,253,394,80,21,0.3910355486862442,0.9654645739191339
评价依据,专业知识与理论,2111,916,744,430,21,0.5518072289156627,0.9922417278239402
评价依据,个人学习经历,4459,1505,1819,919,216,0.4527677496991576,0.9935534174241094
评价依据,公共价值,940,424,459,38,19,0.4801812004530011,0.9988663656306469
评价依据,反讽或梗,3330,451,1252,504,1123,0.26482677627715795,0.8339430423750691
评价依据,实习就业经历,2277,682,1081,482,32,0.38684061259217245,0.9627303890674064
评价依据,招聘收入与市场结果,3545,1296,1825,342,82,0.41525152194809356,0.9791758620302715
评价依据,无依据断言,5437,737,1129,930,2641,0.394962486602358,0.9679274576117887
评价依据,身份情感,5926,2524,1582,631,1189,0.6147101802240623,0.961692534278132
评价依据,身边他人经历,1036,376,415,197,48,0.47534766118836913,0.998245728192108
