object,evidence,n,pos,neg,neutral,unknown,pos_share,signed_balance,entropy
职业,招聘收入与市场结果,2914,1085,1506,258,65,0.41875723658818986,-0.16248552682362022,0.9808706106814559
未明确,无依据断言,2902,199,190,295,2218,0.5115681233933161,0.02313624678663239,0.9996138383767673
未明确,身份情感,2451,1006,224,242,979,0.8178861788617886,0.6357723577235772,0.6846795271491521
专业,个人学习经历,2410,816,1059,441,94,0.4352,-0.1296,0.987849985013739
专业,招聘收入与市场结果,2231,903,1112,173,43,0.4481389578163772,-0.10372208436724566,0.9922255729767415
职业,实习就业经历,2160,634,1024,474,28,0.3823884197828709,-0.23522316043425814,0.9597114367862304
专业,身份情感,2012,798,782,258,174,0.5050632911392405,0.010126582278481013,0.9999260262291606
未明确,反讽或梗,1535,82,198,186,1069,0.29285714285714287,-0.4142857142857143,0.8723834628219467
职业,个人学习经历,1491,550,683,214,44,0.44606650446066504,-0.10786699107866991,0.9915905618004515
职业,身份情感,1452,597,653,134,68,0.4776,-0.0448,0.9985517419935231
专业,无依据断言,1403,320,531,294,258,0.37602820211515864,-0.24794359576968272,0.9551884998986988
课程,个人学习经历,1114,350,528,218,18,0.39863325740318906,-0.20273348519362186,0.9701454847032641
能力,个人学习经历,1066,518,396,121,31,0.5667396061269147,0.13347921225382933,0.9871095294856842
专业,专业知识与理论,1058,503,378,172,5,0.5709421112372304,0.14188422247446084,0.9854293382873313
专业,实习就业经历,1033,370,520,131,12,0.4157303370786517,-0.16853932584269662,0.9794116346561963
行业,招聘收入与市场结果,948,266,609,62,11,0.304,-0.392,0.8861256474645222
职业,无依据断言,865,187,346,222,110,0.350844277673546,-0.29831144465290804,0.9348198076347954
专业,反讽或梗,820,193,496,108,23,0.28011611030478956,-0.4397677793904209,0.8556089707527245
知识,个人学习经历,725,274,313,124,14,0.46678023850085176,-0.06643952299829642,0.9968134736533335
职业,反讽或梗,720,148,454,100,18,0.24584717607973422,-0.5083056478405316,0.8046294585816955
知识,专业知识与理论,679,275,236,163,5,0.538160469667319,0.07632093933463796,0.9957941444157024
职业,专业知识与理论,665,336,243,84,2,0.5803108808290155,0.16062176165803108,0.9813088429462863
能力,专业知识与理论,663,420,199,42,2,0.678513731825525,0.3570274636510501,0.905990402270876
专业,身边他人经历,618,242,260,104,12,0.4820717131474104,-0.035856573705179286,0.9990723690745766
职业,身边他人经历,550,218,249,76,7,0.4668094218415418,-0.06638115631691649,0.9968190740001928
行业,实习就业经历,537,115,363,56,3,0.2405857740585774,-0.5188284518828452,0.7960130449032158
职业,公共价值,470,229,224,16,1,0.5055187637969095,0.011037527593818985,0.9999121186000905
能力,身份情感,462,278,149,23,12,0.6510538641686182,0.30210772833723654,0.9331233421357197
学科,专业知识与理论,451,167,188,95,1,0.4704225352112676,-0.059154929577464786,0.9974743102834176
行业,公共价值,430,139,279,11,1,0.33253588516746413,-0.3349282296650718,0.9174963208155459
能力,实习就业经历,401,224,134,33,10,0.6256983240223464,0.25139664804469275,0.9539178608892709
课程,专业知识与理论,389,150,147,90,2,0.5050505050505051,0.010101010101010102,0.999926399368686
能力,AI与平台可替代性,381,186,161,34,0,0.5360230547550432,0.07204610951008646,0.996252497412419
行业,专业知识与理论,373,146,173,54,0,0.45768025078369906,-0.08463949843260188,0.9948261906374842
能力,招聘收入与市场结果,342,184,140,14,4,0.5679012345679012,0.13580246913580246,0.9866554896538047
行业,身份情感,332,113,194,16,9,0.36807817589576547,-0.26384364820846906,0.9491850273336353
课程,身份情感,326,137,149,25,15,0.479020979020979,-0.04195804195804196,0.9987297112033746
能力,无依据断言,325,132,106,60,27,0.5546218487394958,0.1092436974789916,0.991374099698637
行业,无依据断言,318,47,201,55,15,0.18951612903225806,-0.6209677419354839,0.7004581412102073
未明确,个人学习经历,313,49,58,128,78,0.45794392523364486,-0.08411214953271028,0.9948905370642835
知识,身份情感,312,162,124,22,4,0.5664335664335665,0.13286713286713286,0.9872278299417401
行业,个人学习经历,305,89,190,22,4,0.31899641577060933,-0.36200716845878134,0.9032867564926662
职业,AI与平台可替代性,290,97,174,16,3,0.35793357933579334,-0.28413284132841327,0.9409545248600335
学科,身份情感,270,147,91,24,8,0.6176470588235294,0.23529411764705882,0.9596868937742169
专业,公共价值,266,132,126,8,0,0.5116279069767442,0.023255813953488372,0.999609836367807
行业,反讽或梗,263,32,216,13,2,0.12903225806451613,-0.7419354838709677,0.5547781633412736
课程,无依据断言,233,25,62,78,68,0.28735632183908044,-0.42528735632183906,0.8652817028791377
知识,反讽或梗,226,40,98,84,4,0.2898550724637681,-0.42028985507246375,0.8685339602652349
学科,无依据断言,219,33,145,31,10,0.1853932584269663,-0.6292134831460674,0.6917344197810357
学科,反讽或梗,217,33,138,41,5,0.19298245614035087,-0.6140350877192983,0.7076690004167967
行业,AI与平台可替代性,216,51,149,12,4,0.255,-0.49,0.819107179827683
专业,AI与平台可替代性,216,60,146,7,3,0.2912621359223301,-0.4174757281553398,0.8703460546929581
知识,无依据断言,211,42,70,57,42,0.375,-0.25,0.954434002924965
学科,个人学习经历,205,84,79,35,7,0.5153374233128835,0.03067484662576687,0.9993211442960654
能力,反讽或梗,192,64,103,24,1,0.38323353293413176,-0.23353293413173654,0.9602937876844027
行业,身边他人经历,185,46,127,11,1,0.2658959537572254,-0.4682080924855491,0.8355137467194549
课程,招聘收入与市场结果,181,63,104,11,3,0.3772455089820359,-0.24550898203592814,0.9560733591377151
学科,公共价值,142,66,72,4,0,0.4782608695652174,-0.043478260869565216,0.9986359641585718
学科,招聘收入与市场结果,134,44,84,6,0,0.34375,-0.3125,0.9283620723948676
课程,反讽或梗,131,21,82,24,4,0.20388349514563106,-0.5922330097087378,0.7296274178915987
未明确,身边他人经历,125,33,14,46,32,0.7021276595744681,0.40425531914893614,0.8786744932173093
能力,身边他人经历,119,71,37,9,2,0.6574074074074074,0.3148148148148148,0.9272780575976948
课程,实习就业经历,104,46,47,7,4,0.4946236559139785,-0.010752688172043012,0.9999165959739289
未明确,公共价值,102,35,38,12,17,0.4794520547945205,-0.0410958904109589,0.9987813930727558
知识,AI与平台可替代性,97,45,42,9,1,0.5172413793103449,0.034482758620689655,0.9991421039919088
课程,身边他人经历,90,35,39,16,0,0.47297297297297297,-0.05405405405405406,0.9978913098356861
知识,公共价值,79,53,23,3,0,0.6973684210526315,0.39473684210526316,0.8844839729019953
知识,招聘收入与市场结果,71,29,40,2,0,0.42028985507246375,-0.15942028985507245,0.9815886212101388
未明确,招聘收入与市场结果,70,14,20,28,8,0.4117647058823529,-0.17647058823529413,0.9774178175281716
能力,公共价值,67,53,14,0,0,0.7910447761194029,0.582089552238806,0.739480936716638
未明确,AI与平台可替代性,53,4,16,19,14,0.2,-0.6,0.7219280948873623
知识,实习就业经历,49,19,26,3,1,0.4222222222222222,-0.15555555555555556,0.9824740868386409
