term,coef,se,p_value,p_fdr_bh
Intercept,-0.029382584272701136,0.06751934773806618,0.6634369971328988,0.7306885567368773
C(note_frame)[T.专业身份],0.06130531558430788,0.13048813541046042,0.6384870201095374,0.7306885567368773
C(note_frame)[T.公共价值],0.10926769214414722,0.08498396435855432,0.19853213280985815,0.4402131660013906
C(note_frame)[T.升学报考],-0.08584010605660929,0.07198158888925452,0.23305402905955974,0.4402131660013906
C(note_frame)[T.就业职业],-0.34442283289822245,0.065412767937302,1.3990255456448973e-07,2.3783434275963254e-06
C(note_frame)[T.未识别],0.25209448149405733,0.0640430814585104,8.273837298671633e-05,0.0007032761703870888
C(note_frame)[T.能力训练],0.09146231518562661,0.0861727536792495,0.2885157773854151,0.49047682155520567
C(note_frame)[T.课程知识],0.024170581601494146,0.060130469136572905,0.6877068769288257,0.7306885567368773
C(dominant_query_category)[T.专业价值争议],0.1057658521915768,0.07549546247705641,0.1612271080474863,0.4402131660013906
C(dominant_query_category)[T.专业名称与总体讨论],0.11340925943690189,0.0707182101208514,0.10878498010263858,0.36986893234897117
C(dominant_query_category)[T.公共价值与职业意义],0.11002972449931493,0.12336393794232166,0.37244032860683307,0.5755895987560147
C(dominant_query_category)[T.学科与方法],0.03291940190259053,0.10756465530393047,0.7595719621388851,0.7595719621388851
C(dominant_query_category)[T.就业与职业结果],0.11300642716453216,0.08966401165686844,0.20754960465236594,0.4402131660013906
C(dominant_query_category)[T.教育组织与培养体系],0.036410178265688486,0.07866037172697819,0.6434516105892635,0.7306885567368773
C(dominant_query_category)[T.课程知识与专业训练],-0.1470050031058679,0.07369815576466,0.046076658097609975,0.1958257969148424
C(source_type)[T.browser],-0.03154979499786026,0.04307255836366002,0.46387554007549203,0.657157015106947
np.log1p(n_comments),0.035610739938694,0.014326188098529813,0.012929350887081283,0.07326632169346059
