term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster
Intercept,-1.8427926535835013,0.23907402179609358,1.2776248619593507e-14,0.15837452277841155,0.09912458989329351,0.2530400326729282,21779,4.0153924233008166e-14,binomial_gee_exchangeable,note_id
C(source_type)[T.browser],-0.012138310871881271,0.12896965603620206,0.9250157620016575,0.9879350612522628,0.7672682214674041,1.2720658277556154,21779,0.9250157620016575,binomial_gee_exchangeable,note_id
e0,1.9652135989689545,0.18835191359272144,1.7391813904290987e-25,7.1364367629063485,4.933476186112849,10.32309222740744,21779,3.826199058944017e-24,binomial_gee_exchangeable,note_id
e1,2.8551384460476967,0.733798954759927,9.987303755049994e-05,17.376842796336895,4.124284271193073,73.21383438034833,21779,0.00012924746035947052,binomial_gee_exchangeable,note_id
e2,1.933954893234516,0.2577931221671596,6.28683221686404e-14,6.916811470161678,4.173188507754193,11.46420316859986,21779,1.728878859637611e-13,binomial_gee_exchangeable,note_id
e3,2.3364874756483323,0.318344333468875,2.1439708727241066e-13,10.344836182540867,5.542981772493455,19.306510473237008,21779,5.24081768888115e-13,binomial_gee_exchangeable,note_id
e4,2.8397431280222163,0.34362030956480394,1.4064781504328137e-16,17.111369541229323,8.725478607180486,33.55678017886109,21779,6.188503861904381e-16,binomial_gee_exchangeable,note_id
e5,2.438697468552546,0.42371662272325555,8.639001112964722e-09,11.458106474717772,4.9938786280848815,26.289826758628582,21779,1.1878626530326493e-08,binomial_gee_exchangeable,note_id
e6,1.9504559366342167,0.30025801902875887,8.252044757727203e-11,7.031892947414302,3.9037991474393587,12.666511917327865,21779,1.3964998820769112e-10,binomial_gee_exchangeable,note_id
e7,1.6689935298845662,0.16465315756357296,3.8080077455917256e-24,5.306823948708131,3.8430769740519684,7.3280812777707665,21779,4.188808520150898e-23,binomial_gee_exchangeable,note_id
e8,0.7963416106527044,0.13128513528336097,1.3134675746594235e-09,2.2174139082340774,1.7143307059011887,2.868130649182532,21779,1.926419109500488e-09,binomial_gee_exchangeable,note_id
e9,0.5285031389154672,0.1602665074854883,0.0009749695317348649,1.6963911453192262,1.2390943925940086,2.322456574025005,21779,0.001128912089377212,binomial_gee_exchangeable,note_id
o0,1.401144050628464,0.22403174679985186,3.995050124138223e-10,4.059841975755588,2.6170345534022452,6.298089127894545,21779,6.277935909360065e-10,binomial_gee_exchangeable,note_id
o1,1.9631323467074908,0.27983168759825655,2.292854180755343e-12,7.121599483171534,4.115096312232459,12.324663956940237,21779,4.585708361510686e-12,binomial_gee_exchangeable,note_id
o2,1.9270561897242293,0.22866526259819706,3.5339634262384334e-17,6.869258653578582,4.387994438734728,10.753594861749747,21779,1.9436798844311384e-16,binomial_gee_exchangeable,note_id
o3,1.3940605870346543,0.17269096234259515,6.883138185958332e-16,4.031185845072356,2.8736594890709517,5.65497038856384,21779,2.5238173348513886e-15,binomial_gee_exchangeable,note_id
o4,1.8622628888737445,0.25656489119892056,3.9155722495169153e-13,6.438289433215341,3.8938395517126247,10.645423437547832,21779,8.614258948937214e-13,binomial_gee_exchangeable,note_id
o5,2.1269754846603948,0.25200501868403963,3.167658170501312e-17,8.38945436722397,5.119443020317636,13.74816445859503,21779,1.9436798844311384e-16,binomial_gee_exchangeable,note_id
o6,2.201238588153048,0.3152456823663406,2.8973982491301735e-12,9.036198699733974,4.871281531918801,16.762095642809385,21779,5.3118967900719854e-12,binomial_gee_exchangeable,note_id
is_reply,-0.10344798486896574,0.10633931692735116,0.33064758292339036,0.9017229247581255,0.7320744620761909,1.1106851490603205,21779,0.34639270591974225,binomial_gee_exchangeable,note_id
is_note_author,0.46757001106632834,0.1746854304164292,0.007436448942408081,1.5961109450697475,1.1333598814065404,2.247803359520558,21779,0.00818009383664889,binomial_gee_exchangeable,note_id
log_text_length,0.19632660435681867,0.05268911218819421,0.00019444035171191937,1.2169242932125592,1.0975231338984066,1.349315280627122,21779,0.00023764931875901255,binomial_gee_exchangeable,note_id
