term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster
Intercept,-1.1378453932049823,0.16228661563282082,2.360592888075832e-12,0.32050884894012227,0.23318406474330272,0.4405357731541667,16533,5.770338170852033e-12,binomial_gee_exchangeable,note_id
C(source_type)[T.browser],-0.14880714109077806,0.09009101289570358,0.09858708601982487,0.8617352922025487,0.7222488539847589,1.0281604598338099,16533,0.10844579462180735,binomial_gee_exchangeable,note_id
e0,0.5221772847640656,0.05947087904592992,1.629143002625362e-18,1.6856938926524352,1.500223897297155,1.8940932115833908,16533,8.960286514439491e-18,binomial_gee_exchangeable,note_id
e1,0.4934365927341506,0.061565524113632565,1.1029844689322285e-15,1.637935476033656,1.4517477355641608,1.848001934445607,16533,4.8531316633018055e-15,binomial_gee_exchangeable,note_id
e2,0.1970315080586725,0.10494216757790048,0.060446220027285245,1.21778241006106,0.9913822075054983,1.4958852267337048,16533,0.07387871336668196,binomial_gee_exchangeable,note_id
e3,0.7162849163399753,0.06336898659099705,1.2623604818696617e-29,2.0468149793378703,1.8077476943043773,2.317497941134972,16533,9.25731020037752e-29,binomial_gee_exchangeable,note_id
e4,-0.17105867927832452,0.09430277320539864,0.06968842192029058,0.8427721187609298,0.7005481949679911,1.013870065275437,16533,0.08069185696033646,binomial_gee_exchangeable,note_id
e5,0.2767005288033082,0.1276377414934319,0.03016947450758283,1.3187713778506822,1.026885623761536,1.6936238143714195,16533,0.04148302744792639,binomial_gee_exchangeable,note_id
e6,0.7781713177592054,0.1017284780533137,2.0177268883514282e-14,2.1774866911926476,1.7838670373996748,2.6579605939872435,16533,6.341427363390203e-14,binomial_gee_exchangeable,note_id
e7,0.363404445093087,0.09277048247028737,8.956776389803943e-05,1.4382174216072208,1.1991036261415275,1.7250130069829224,16533,0.00017913552779607887,binomial_gee_exchangeable,note_id
e8,0.9984662120856225,0.08472230798487988,4.655185132709124e-32,2.7141157563948997,2.2988534265346536,3.20439061233033,16533,5.120703645980037e-31,binomial_gee_exchangeable,note_id
e9,0.5465889278072207,0.07575773543564317,5.395037195102145e-13,1.7273508387974048,1.4889985298387916,2.00385753276542,16533,1.4836352286530899e-12,binomial_gee_exchangeable,note_id
o0,0.6177521798487223,0.07962055525233261,8.580283852142003e-15,1.8547541987158829,1.586762681911578,2.1680073377512765,16533,3.1461040791187346e-14,binomial_gee_exchangeable,note_id
o1,0.2721887066365218,0.12867127516170104,0.03439753024802234,1.3128347185614773,1.0201942061097715,1.6894185322151727,16533,0.04451445090920538,binomial_gee_exchangeable,note_id
o2,-0.023000536438086815,0.0759025484144991,0.7618691357631682,0.9772619595326005,0.8421732453512023,1.1340195652394869,16533,0.7618691357631682,binomial_gee_exchangeable,note_id
o3,0.23199442515674218,0.06603705763933924,0.0004429198862435062,1.261112698303109,1.1080057658902704,1.4353763191326672,16533,0.0006960169640969384,binomial_gee_exchangeable,note_id
o4,0.25472535870001684,0.05673844712920327,7.140176868823105e-06,1.2901072554796686,1.1543275912025655,1.4418582240656257,16533,1.5708389111410833e-05,binomial_gee_exchangeable,note_id
o5,0.8641707149973674,0.06399365582368037,1.4809902738337675e-41,2.3730373454851597,2.0933028918218795,2.6901535678700164,16533,3.2581786024342884e-40,binomial_gee_exchangeable,note_id
o6,0.37653449187404875,0.09906368060271255,0.00014415181456024366,1.4572258010061856,1.2000577467079394,1.7695040434041058,16533,0.00026427832669378005,binomial_gee_exchangeable,note_id
is_reply,-0.12769001149179346,0.09368797601691649,0.1729050494250841,0.8801261658592743,0.7324805843236902,1.0575325604642019,16533,0.18113862320723095,binomial_gee_exchangeable,note_id
is_note_author,-0.24425519712991386,0.10809625612577867,0.023845572251729195,0.7832877159776469,0.6337353383255178,0.968132292610665,16533,0.034973505969202824,binomial_gee_exchangeable,note_id
log_text_length,-0.1562622861731862,0.04211287720191851,0.0002068026597449658,0.8553348184511542,0.7875696045256804,0.9289307858642908,16533,0.0003499737318760959,binomial_gee_exchangeable,note_id
