term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster
Intercept,-0.9226153539075203,0.1526613669099941,1.5076728128498776e-09,0.39747813451604647,0.294689908521207,0.5361190283412329,16533,6.633760376539462e-09,binomial_gee_exchangeable,note_id
C(source_type)[T.browser],0.06709684843076703,0.08846496815308559,0.44817762109886383,1.0693990427786415,0.8991598162734301,1.2718699078831022,16533,0.5477726480097225,binomial_gee_exchangeable,note_id
e0,-0.28672947351239875,0.05718133854089579,5.320226212590769e-07,0.7507147896043935,0.6711216263885033,0.8397474811883414,16533,1.4630622084624615e-06,binomial_gee_exchangeable,note_id
e1,-0.24099530490974339,0.08490929957445176,0.004535915212328436,0.7858453159943704,0.665366320514899,0.9281396452294033,16533,0.007676164205478891,binomial_gee_exchangeable,note_id
e2,0.020907828111767255,0.09700505992320985,0.8293514927320058,1.0211279280105672,0.8443213677885785,1.2349589684010591,16533,0.8293514927320058,binomial_gee_exchangeable,note_id
e3,0.19639021006678323,0.08070078799224258,0.014951157033264594,1.2170016990079013,1.0389563145892244,1.4255586251224655,16533,0.023494675337987218,binomial_gee_exchangeable,note_id
e4,0.24997576684801534,0.07052513395355098,0.00039337057434346356,1.2839943010816828,1.1182293583782414,1.4743320347099897,16533,0.0008014590939881991,binomial_gee_exchangeable,note_id
e5,0.5014235491332321,0.10494132440742873,1.769308103055612e-06,1.6510699777893088,1.3441186954853444,2.028118558809907,16533,4.324975363024829e-06,binomial_gee_exchangeable,note_id
e6,-0.3642738099342196,0.10291375122449847,0.00040072954699409954,0.6947009526768606,0.5678007225878668,0.8499626619891352,16533,0.0008014590939881991,binomial_gee_exchangeable,note_id
e7,0.7322784431788587,0.07542947690618748,2.7842389922206506e-22,2.0798139512097205,1.7939800953326148,2.411189557175434,16533,6.125325782885431e-21,binomial_gee_exchangeable,note_id
e8,-0.7145123149954737,0.08246079839704964,4.520180702881253e-18,0.489430741636955,0.41638894988483255,0.5752853213937449,16533,3.314799182112919e-17,binomial_gee_exchangeable,note_id
e9,-0.4456419724518704,0.07942318062633101,2.011826357845773e-08,0.6404130165233782,0.54809239267176,0.7482841163573482,16533,7.376696645434502e-08,binomial_gee_exchangeable,note_id
o0,-0.3965964340402436,0.07824375366158323,4.0047958345914916e-07,0.6726054115163577,0.5769762403545409,0.7840843486433667,16533,1.2586501194430403e-06,binomial_gee_exchangeable,note_id
o1,0.0442982024055516,0.08500957273390002,0.6022994540535747,1.0452940176074073,0.8848646706798255,1.2348098183266594,16533,0.6625293994589322,binomial_gee_exchangeable,note_id
o2,0.7525183376273542,0.07936290997408002,2.4947861034988695e-21,2.122338056083283,1.8166007484251507,2.4795315251324523,16533,2.744264713848756e-20,binomial_gee_exchangeable,note_id
o3,-0.04972700266918466,0.07170232373142543,0.48798321681560886,0.9514891430442173,0.8267412116425026,1.0950604331582545,16533,0.5650331984180734,binomial_gee_exchangeable,note_id
o4,-0.10473063535060555,0.0574266661391137,0.06819316048964025,0.9005670708511309,0.8046990672299457,1.0078563305574624,16533,0.10001663538480571,binomial_gee_exchangeable,note_id
o5,-0.5126228940147076,0.06300139576154427,4.062275417081988e-16,0.5989226063245839,0.5293498996804633,0.6776392865723847,16533,2.2342514793950933e-15,binomial_gee_exchangeable,note_id
o6,-0.15493408758136176,0.08813745961916299,0.07876984100457911,0.856471627739686,0.7205910446069084,1.017974972924101,16533,0.10830853138129627,binomial_gee_exchangeable,note_id
is_reply,0.02313894145897776,0.10242921502127575,0.8212778174566862,1.0234087235705445,0.8372585796168993,1.2509461723993671,16533,0.8293514927320058,binomial_gee_exchangeable,note_id
is_note_author,0.11041196290076453,0.12052007523753608,0.35959912202154254,1.1167380303475372,0.8817846757661192,1.4142951932578987,16533,0.4653635696749374,binomial_gee_exchangeable,note_id
log_text_length,0.13182342481432413,0.040449258753242755,0.0011181258035869329,1.140906845642029,1.0539477519209364,1.235040758007605,16533,0.002049897306576044,binomial_gee_exchangeable,note_id
