term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,model_family,cluster,property
Intercept,,,,,,,1959,binomial_gee_exchangeable,note_id,大学教育通用
C(ability_type)[T.伦理责任与公共判断],,,,,,,1959,binomial_gee_exchangeable,note_id,大学教育通用
C(ability_type)[T.信息搜集整理],,,,,,,1959,binomial_gee_exchangeable,note_id,大学教育通用
C(ability_type)[T.基础内容生产],,,,,,,1959,binomial_gee_exchangeable,note_id,大学教育通用
C(ability_type)[T.平台运营与商业传播],,,,,,,1959,binomial_gee_exchangeable,note_id,大学教育通用
C(ability_type)[T.社会解释与议题发现],,,,,,,1959,binomial_gee_exchangeable,note_id,大学教育通用
C(ability_type)[T.采访与信源关系],,,,,,,1959,binomial_gee_exchangeable,note_id,大学教育通用
C(source_type)[T.browser],,,,,,,1959,binomial_gee_exchangeable,note_id,大学教育通用
ai_context,,,,,,,1959,binomial_gee_exchangeable,note_id,大学教育通用
is_reply,,,,,,,1959,binomial_gee_exchangeable,note_id,大学教育通用
