term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,model_family,cluster
Intercept,-2.164103517849673,0.10844647952810377,1.3427825935113888e-88,0.1148528519903066,0.09286034160151642,0.14205394232678403,21779,3.088399965076194e-87,binomial_gee_exchangeable,note_id
C(source_type)[T.browser],0.557268867703574,0.08515603114566733,5.985810386351099e-11,1.7458977053563778,1.4775171041708277,2.0630277571502433,21779,3.441840972151882e-10,binomial_gee_exchangeable,note_id
e0,0.09101277219594175,0.045080575485477115,0.0434985404749769,1.095282994338145,1.0026583714641033,1.196464191422035,21779,0.06669776206163125,binomial_gee_exchangeable,note_id
e1,-0.021758974226649606,0.0803075164391969,0.7864328150770361,0.9784760445773308,0.8359707066133977,1.1452738262687288,21779,0.7864328150770361,binomial_gee_exchangeable,note_id
e2,0.13939232981474187,0.08457507496152562,0.09932208817883698,1.1495750240985743,0.9739699605790169,1.3568413703905238,21779,0.1269115571174028,binomial_gee_exchangeable,note_id
e3,0.25748644955096023,0.05732882090463707,7.075777686604598e-06,1.293674280994128,1.156180570120091,1.44751882928792,21779,1.8082542976878416e-05,binomial_gee_exchangeable,note_id
e4,0.30413261748688336,0.0631127609469539,1.4436868602059004e-06,1.355448800384296,1.1977342008831005,1.533930858038964,21779,4.74354254067653e-06,binomial_gee_exchangeable,note_id
e5,0.4369430115148361,0.09176732985431013,1.9223330350934784e-06,1.5479678581993133,1.2931473395515523,1.8530019099363757,21779,5.52670747589375e-06,binomial_gee_exchangeable,note_id
e6,0.3276953092987612,0.09877603717723873,0.0009080780656903669,1.3877660684486992,1.1435006197207642,1.6842095470030014,21779,0.0018987086828071308,binomial_gee_exchangeable,note_id
e7,0.08499951123981055,0.04550424088528617,0.061769455752840596,1.088716534576969,0.9958199598944499,1.190279107065617,21779,0.0835704401361961,binomial_gee_exchangeable,note_id
e8,0.4463105141732254,0.06246846157522945,9.027575403292236e-13,1.562536580966966,1.382470795094719,1.766055800616502,21779,6.921141142524048e-12,binomial_gee_exchangeable,note_id
e9,0.17159731735328856,0.05062674165988386,0.0007003041714164541,1.1871996722406113,1.075051861530257,1.3110465757084282,21779,0.0016106995942578445,binomial_gee_exchangeable,note_id
o0,-0.12617406374419735,0.08624756786053495,0.14348682188466066,0.8814614029571358,0.7443683320092258,1.0438034122245978,21779,0.16500984516735978,binomial_gee_exchangeable,note_id
o1,0.16322236850784477,0.07230370773527639,0.023979656626661593,1.1772984546838987,1.0217400460419266,1.356540400633588,21779,0.03939515017237261,binomial_gee_exchangeable,note_id
o2,0.09089364130996976,0.057652280963971535,0.11489136622872265,1.0951525200765508,0.9781376921093018,1.226165857736927,21779,0.13907902227687477,binomial_gee_exchangeable,note_id
o3,0.12996740254457811,0.04422753509854975,0.003296894310977181,1.1387912610222128,1.044231735555017,1.2419135446896552,21779,0.00631904742937293,binomial_gee_exchangeable,note_id
o4,0.09793394368672906,0.04984769866432497,0.049453221385158674,1.1028899298595496,1.0002324813242476,1.2160834806876162,21779,0.0710890057411656,binomial_gee_exchangeable,note_id
o5,0.3315238875924427,0.059621979100035395,2.6910957635501068e-08,1.3930894234332596,1.2394463755104288,1.565778221653513,21779,1.2379040512330493e-07,binomial_gee_exchangeable,note_id
o6,0.3819357800454822,0.07792681225448715,9.524749774302729e-07,1.4651179923008446,1.2575925617378878,1.7068888578644872,21779,3.6511540801493795e-06,binomial_gee_exchangeable,note_id
is_reply,-0.22740498815602914,0.09130710431680013,0.012754523563199179,0.7965981041568401,0.6660657346631256,0.9527115816387344,21779,0.022565695534890857,binomial_gee_exchangeable,note_id
is_note_author,0.24015472740233992,0.21753920856216657,0.2696102049906901,1.2714458626181597,0.8300891939461118,1.9474709384950526,21779,0.29528736737075584,binomial_gee_exchangeable,note_id
is_reply:is_note_author,-0.20961899611494128,0.26534165621665157,0.42952977626155764,0.8108931405583515,0.4820590595265944,1.364039680221611,21779,0.4490538570007193,binomial_gee_exchangeable,note_id
log_text_length,0.4353275487583206,0.036117088647738986,1.8649756234819726e-33,1.5454691925701431,1.4398487235925952,1.658837477887176,21779,2.1447219670042685e-32,binomial_gee_exchangeable,note_id
