term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh
Intercept,-1.3593102175933147,0.21567440407788926,2.9268727996741e-10,0.25683787811559544,0.16829581412801417,0.3919627827745298,16533,8.048900199103774e-10
C(source_type)[T.browser],-0.2135168511343284,0.13644654207887552,0.11762069785266804,0.8077385487250923,0.6181945448264757,1.055398447878015,16533,0.14375863070881648
e0,0.5635775615418908,0.07563826622021318,9.266470610226004e-14,1.7569468556597372,1.5148653539789496,2.0377139430277924,16533,4.077247068499442e-13
e1,0.4800550860858129,0.07102723244084315,1.3919031060746477e-11,1.6161634278581078,1.4061306475308835,1.8575686620106193,16533,5.1036447222737085e-11
e2,0.27416956710929635,0.10218551335555062,0.007295253344562433,1.3154378383201013,1.0766840144537753,1.6071351327363375,16533,0.011463969541455251
e3,0.7327395791446029,0.0812483252076324,1.906488286989939e-19,2.0807732493911275,1.774454162831686,2.4399713478495704,16533,1.3980914104592887e-18
e4,-0.12184846106455838,0.09607243722066922,0.20469162132278507,0.8852825131079065,0.7333366262176906,1.068711284825425,16533,0.22516078345506357
e5,0.5405542688482318,0.17733186795472425,0.0023016796979543654,1.7169582549712548,1.2128631542638777,2.4305674048636847,16533,0.0038951502580766182
e6,0.9197476062892799,0.13952770907980191,4.34339986256416e-11,2.508657140740926,1.9084154616008324,3.297688986711201,16533,1.3650685282344503e-10
e7,0.2623463389423089,0.10139796915941474,0.009673306763089137,1.2999766970261228,1.0656727814585083,1.5857957923050747,16533,0.013300796799247562
e8,1.241058522850248,0.10301796805773654,2.0111285570167532e-33,3.4592732472167054,2.826794277495538,4.233265750598329,16533,2.2122414127184286e-32
e9,0.6851318541870121,0.09054642026532325,3.8301151398312866e-14,1.984033421404969,1.6614004154233935,2.369319629818892,16533,2.1065633269072076e-13
o0,0.6197054812586273,0.11491784980292637,6.944716308528244e-08,1.858380633314148,1.4835924767006747,2.327848538270714,16533,1.6975973198624595e-07
o1,0.29375087984149667,0.17161517094704473,0.086954985838325,1.3414496798808824,0.95828039569942,1.8778295493973143,16533,0.11252998167312649
o2,-0.07731702771724452,0.09171974015458613,0.39924498831885624,0.9255963673838784,0.773300378102741,1.1078859645926697,16533,0.41825665442927795
o3,0.3136898746652352,0.08865625798011458,0.00040275632665677145,1.3684652749811175,1.1501859316754801,1.6281691135807757,16533,0.0007383865988707478
o4,0.24440948677453775,0.09406264450889082,0.009366769855752136,1.2768670836354916,1.0618861392259855,1.5353713444835102,16533,0.013300796799247562
o5,1.0696888865986478,0.08630398338385396,2.801221731229854e-35,2.9144726274219437,2.4609146238718536,3.451623479171166,16533,6.162687808705679e-34
o6,0.569169992290094,0.15364011488944412,0.0002117527177173897,1.7667999850702922,1.3073933779184856,2.387638059031848,16533,0.0004235054354347794
is_reply,0.017706540983140416,0.1009265717052333,0.8607340429475061,1.01786423112063,0.8351787212915558,1.2405100448351982,16533,0.8607340429475061
is_note_author,-0.6566148118547859,0.13870431486694976,2.2022704899523044e-06,0.518603938275171,0.3951557575106673,0.6806178062260857,16533,4.84499507789507e-06
log_text_length,-0.08116448173145237,0.057659314285873446,0.15923294621288175,0.9220420199034456,0.823512345702051,1.0323603415354463,16533,0.1843749903517578
