term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh
Intercept,-0.5643156879145981,0.22801968715246393,0.013329023807232998,0.5687492155818938,0.3637697106053062,0.8892320080381677,6947,0.018660633330126197
C(source_type)[T.browser],-0.10962156410346746,0.156624719023993,0.4839900634301807,0.8961732152466293,0.65928061651709,1.218186022165059,6947,0.5646550740018775
e0,0.5209529179648141,0.10569107926581936,8.264521819869112e-07,1.683631247991063,1.3686137997558179,2.07115709319728,6947,1.9283884246361264e-06
e1,0.5587257956467813,0.09022637447003856,5.922163291133913e-10,1.7484432063648023,1.4650393492805789,2.0866699910718607,6947,2.0727571518968696e-09
e2,0.2793626610850288,0.1310609579398719,0.0330440611887546,1.3222867988896498,1.022737835172428,1.7095704474676636,6947,0.042056077876596765
e3,0.7968721792677802,0.09269778620572212,8.22176447496906e-18,2.2185907106200187,1.849997926547675,2.66062176103882,6947,7.235732225349165e-17
e4,0.0473604861606417,0.11878056199923423,0.6900976652870637,1.048499910668647,0.8307308567412061,1.3233552765629808,6947,0.7431821010783763
e5,0.590003717551496,0.21943798843940787,0.007173007037378921,1.8039951218301553,1.173399698084963,2.7734781293180064,6947,0.011237615240911467
e6,1.3643271471518783,0.19735893032771118,4.7476669162307824e-12,3.9130892327704827,2.6578131050973837,5.761228023993521,6947,2.215577894241032e-11
e7,0.33135064834415645,0.10037564647348042,0.000963044924583293,1.3928481065721279,1.144095514600637,1.695685214410403,6947,0.001926089849166586
e8,1.1937070413744715,0.13928691114968436,1.0336760321927378e-17,3.2992891671458002,2.5110592988330858,4.334947013598659,6947,7.235732225349165e-17
e9,0.6559226555141583,0.12548197619929172,1.7207207193920382e-07,1.9269195804180008,1.5067846086105345,2.464200289928768,6947,4.818018014297707e-07
is_reply,-0.03061123137626711,0.12601696646862634,0.808072351986029,0.969852548033583,0.7575964025112235,1.241576599109179,6947,0.808072351986029
log_text_length,-0.15436146462171693,0.05746185112424627,0.00722418122630023,0.8569622035020817,0.7656832604785386,0.9591227288581,6947,0.011237615240911467
