term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh
Intercept,-1.14882201360444,0.4022221964938539,0.004287618348899637,0.3170099829628204,0.1441101244245518,0.6973509300569757,6623,0.0075033321105743645
C(source_type)[T.browser],-0.20984929293914145,0.1538460309144873,0.17256080094610904,0.8107064159451832,0.5996629608389675,1.096023826342644,6623,0.19939514311819298
e0,0.27396236373809013,0.07981335287084051,0.000597960159947669,1.3151653034014412,1.124713337540307,1.537867221396775,6623,0.0013952403732112276
e1,0.5224294974477119,0.0868194859784257,1.772165005867039e-09,1.6861190996519526,1.4222829685372982,1.9988973228969351,6623,8.270103360712849e-09
e2,0.2370387883664088,0.14132611824971344,0.09349421876033286,1.26749028069923,0.9608274838977351,1.6720292025264372,6623,0.130891906264466
e3,0.878196491694808,0.0852109262626505,6.609712786474501e-25,2.406555547314711,2.0363990493556927,2.843995436033824,6623,4.6267989505321505e-24
e4,-0.1451443477608432,0.10953828804181985,0.1851526328954649,0.8648974380911394,0.6977883872438931,1.072026408136764,6623,0.19939514311819298
e5,0.4979074572120937,0.22907461470028612,0.029738182820241064,1.645274858036416,1.05013760965816,2.577690136598294,6623,0.046259395498152764
e6,0.965958494034723,0.18796394687264398,2.761123753975467e-07,2.6273047058814383,1.8176585433298629,3.797594461774587,6623,9.663933138914134e-07
e7,0.48310419711697455,0.15846370249095917,0.002298536284198164,1.6210988100345498,1.1882900491234119,2.211548732427786,6623,0.004597072568396328
e8,1.223787327935918,0.11735457839265323,1.8450750595391356e-25,3.4000404477075166,2.7014059353653543,4.279355018328132,6623,2.58310508335479e-24
e9,0.6569482907712024,0.13153516394625145,5.899788538220722e-07,1.928896910913768,1.490541340038772,2.4961691386807794,6623,1.6519407907018021e-06
is_reply,-0.15727601134497546,0.11548338901844282,0.1732316768924267,0.8544681833545043,0.6813879529096251,1.0715127457822615,6623,0.19939514311819298
log_text_length,0.03190942051750011,0.09266239994499613,0.7305739723594741,1.0324239846394065,0.8609585793020922,1.2380378216600685,6623,0.7305739723594741
