term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh
Intercept,1.1374741952224074,0.41006996550468233,0.005539654118691017,3.1188807242249466,1.3961759887485021,6.967185405230572,2208,0.008617239740186026
C(source_type)[T.browser],-0.12389785182344575,0.18663592111769256,0.5067877074351451,0.8834700811315618,0.6128076008148899,1.2736777142070386,2208,0.5067877074351451
e0,0.48173740353788697,0.1789450230953005,0.0071004238610917775,1.6188846161076482,1.1399736615900153,2.29898943157562,2208,0.009940593405528489
e1,0.7605739371137655,0.1902573430384015,6.398628174690825e-05,2.1395038088247973,1.4735427638934473,3.1064429619138045,2208,0.00019789600845168087
e2,0.7799389566410169,0.2030627440551267,0.00012259569878287298,2.181339105167905,1.4651182827568328,3.2476833766495603,2208,0.00024519139756574597
e3,0.6954202251285192,0.14218836746070032,1.0040774278503152e-06,2.004551259785721,1.5169944243361393,2.648807199714634,2208,7.028541994952207e-06
e4,-0.16107758104899098,0.1551014114766967,0.2990230393609923,0.8512260295370973,0.6280871504481254,1.1536388745487252,2208,0.34886021258782435
e5,0.8021281992031934,0.17223413898144474,3.205447380324156e-06,2.230282366495861,1.5912968087553765,3.1258527051234943,2208,1.4958754441512728e-05
e6,0.8499628487650603,0.2138812252750877,7.067714587560031e-05,2.339559932770706,1.5384195869311175,3.557898459902505,2208,0.00019789600845168087
e7,0.19106663188898354,0.17741898275886148,0.28151454419025046,1.2105401099682935,0.8549822467308955,1.713962323130299,2208,0.34886021258782435
e8,1.447330032206026,0.18128097276396957,1.4177535733454764e-15,4.251747318488619,2.9802861684520243,6.065644115532917,2208,1.984855002683667e-14
e9,0.5462568636662367,0.19629626225502533,0.005388894868490747,1.726777342748948,1.1752914855579044,2.5370387074791854,2208,0.008617239740186026
is_reply,-0.13301565896145243,0.14306967066750034,0.352512728997852,0.8754513833419737,0.6613763652699435,1.1588184350714739,2208,0.37962909276691753
log_text_length,-0.4126162729727449,0.10695988501292156,0.00011447159879244753,0.6619162292486213,0.5367313185401724,0.8162987316156036,2208,0.00024519139756574597
