term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh
Intercept,-0.9587489209674698,0.2054183563979077,3.0518483059788613e-06,0.38337221501319463,0.2563096745092319,0.5734245323573588,16533,9.591523247362136e-06
C(source_type)[T.browser],0.027940654071990857,0.13619702353075125,0.837455880982983,1.02833465513611,0.7874105421158005,1.3429743525054119,16533,0.877334732458363
e0,-0.3728195347492738,0.07461268806227975,5.83103036816096e-07,0.6887895242026657,0.5950794200006525,0.7972566227392208,16533,2.1380444683256855e-06
e1,-0.42284132733366053,0.11586948569317494,0.0002629663574279811,0.6551825844320827,0.522074218959163,0.8222283410180813,16533,0.0006428066514906205
e2,-0.02878039180957544,0.10970634450941372,0.7930591195168261,0.9716298189048486,0.7836405647807413,1.2047162275847898,16533,0.8723650314685087
e3,0.23685604717518596,0.0949550314329386,0.01261694607842404,1.2672586791776852,1.0520537283281406,1.5264853084102843,16533,0.021351754901948374
e4,0.1914996814997855,0.08124567308074661,0.018421030301893987,1.2110644474156451,1.0327840967697963,1.4201197524065656,16533,0.028947333331547694
e5,0.42733607612507574,0.16027916868464231,0.007671438667457659,1.5331678362557393,1.119843457560705,2.099046610719412,16533,0.014064304223672375
e6,-0.42333730255525454,0.13270346330249813,0.0014222363010722783,0.6548577106759107,0.504879197785699,0.849388572776412,16533,0.0031289198623590123
e7,0.8088499396927226,0.09214711919000587,1.6668799020557506e-18,2.2453242429419196,1.8743118637895877,2.689777007413034,16533,1.8335678922613256e-17
e8,-0.9059459402663028,0.12479890556051162,3.8925435445092475e-13,0.40415939358008157,0.31646209893626337,0.5161591734620882,16533,2.5644653335741544e-12
e9,-0.5181328347646763,0.09949039484417493,1.910228235332946e-07,0.5956316530546387,0.4901057922356824,0.723878541614942,16533,8.405004235464963e-07
o0,-0.39764019985787197,0.10453951755931831,0.00014253297635730906,0.6719037352356266,0.5474207074943788,0.8246941031696776,16533,0.0003919656849825999
o1,-0.009778832062465945,0.11993294491487246,0.935015832470302,0.9902688252450104,0.7828239848620474,1.2526856167097946,16533,0.935015832470302
o2,0.8876675811817354,0.08783748721591476,5.207185174337008e-24,2.429456527688315,2.0452215197379564,2.8858776239962456,16533,1.1455807383541418e-22
o3,-0.0591721830918408,0.10353303653981633,0.5676407792113999,0.9425444649643069,0.7694364349949186,1.154598389197307,16533,0.6572682706658315
o4,-0.09742601123986212,0.0862004984179361,0.2583811694350353,0.9071694594163247,0.7661487111980609,1.07414711539593,16533,0.31579920708726533
o5,-0.6402782556649099,0.08849996725170191,4.662664242862099e-13,0.5271457223502296,0.4431982059614173,0.6269939924268024,16533,2.5644653335741544e-12
o6,-0.28323132615637064,0.1373968642451193,0.039263902622620146,0.7533454991829844,0.5754924441624254,0.9861631493098842,16533,0.05758705717984289
is_reply,-0.1323714104670399,0.11165442975270586,0.23580182277941786,0.8760155732973736,0.703833052147683,1.0903200443881744,16533,0.3051553000674819
is_note_author,0.2502792811784994,0.1415545724195135,0.07704815303126801,1.2843840708996914,0.9731980412511119,1.695073737982597,16533,0.10594121041799351
log_text_length,0.15803070871562863,0.05394235807757904,0.003393747691742117,1.171202160269522,1.053695687488928,1.3018127686267182,16533,0.006787495383484234
