term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,strategy,scope
Intercept,-5.069212523957152,0.34549921346754603,9.723077326128073e-49,0.006287369344587056,0.003194288261400606,0.012375530960352285,2253,1.5556923721804916e-47,个人经验回应,adjudicated_plus_high
C(reply_source_type)[T.browser],1.073717030773233,1.0690239666564616,0.3151906461296621,2.926236220175613,0.3600292705069614,23.783784035698538,2253,0.4335409799399743,个人经验回应,adjudicated_plus_high
is_author,-0.4473002772652407,0.270283609149792,0.09793883013364106,0.6393518966088345,0.37641758584593354,1.085950452550382,2253,0.2611702136897095,个人经验回应,adjudicated_plus_high
source_negative,0.17868356865649018,0.15894498625624032,0.2609345534577787,1.1956423455886838,0.8755976437002544,1.632668416652563,2253,0.41749528553244597,个人经验回应,adjudicated_plus_high
is_author:source_negative,0.20963546371543446,0.33803284433006087,0.5351504766813775,1.233228421500162,0.6357760430838845,2.392119609003763,2253,0.6586467405309262,个人经验回应,adjudicated_plus_high
log_reply_length,0.9256334837578682,0.10376584218892626,4.645801914205779e-19,2.52346632906241,2.0590658993946844,3.092607339951441,2253,3.716641531364623e-18,个人经验回应,adjudicated_plus_high
e0,0.05798362345850582,0.23870158015329976,0.808073097994757,1.0596976413857906,0.6637355521676429,1.6918772657140662,2253,0.8619446378610741,个人经验回应,adjudicated_plus_high
e1,0.3472091251758772,0.24016565466779652,0.14825945031977805,1.4151126301064423,0.8838078908778079,2.2658133928831794,2253,0.2965189006395561,个人经验回应,adjudicated_plus_high
e2,1.2897540032876889,0.2745627935475127,2.633873424480828e-06,3.631893012112471,2.1204130994540504,6.220791059453289,2253,1.4047324930564417e-05,个人经验回应,adjudicated_plus_high
e3,0.015240527420350728,0.1488239455443948,0.9184340883253301,1.0153572565087612,0.7584682000587352,1.35925323997125,2253,0.9184340883253301,个人经验回应,adjudicated_plus_high
e4,-0.7661426080011227,0.2502163561511475,0.0021992180187802705,0.4648025403449939,0.28462957923777926,0.7590265287596091,2253,0.008796872075121082,个人经验回应,adjudicated_plus_high
e5,-0.9347114982389483,0.42595472597889056,0.028207264961116238,0.39269914358476143,0.17040407319304235,0.9049819906447027,2253,0.09026324787557197,个人经验回应,adjudicated_plus_high
e6,-0.9726276334343824,0.6424294122205242,0.1300299835634766,0.3780882543739349,0.1073362035422394,1.3318034677765989,2253,0.2965189006395561,个人经验回应,adjudicated_plus_high
e7,0.1072032257225881,0.23102506303650794,0.6426241876131171,1.1131604543314209,0.7077913742651106,1.7506941199642363,2253,0.7344276429864196,个人经验回应,adjudicated_plus_high
e8,0.7648802700118252,0.5562795010500935,0.16913369846971016,2.1487370909867476,0.7222185016233341,6.392900591447572,2253,0.30068213061281807,个人经验回应,adjudicated_plus_high
e9,-0.25295675820953867,0.2570912486153258,0.32515573495498074,0.7765014584111343,0.46913926913772297,1.2852356529924422,2253,0.4335409799399743,个人经验回应,adjudicated_plus_high
