term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,scope
Intercept,-9.997214140429145,0.8859634147374196,1.574156067463293e-29,4.552658392977816e-05,8.018955084302624e-06,0.00025847131234996645,2253,2.518649707941269e-28,adjudicated_plus_high
C(reply_source_type)[T.browser],0.2275674120952417,0.9226970757335476,0.805192376900806,1.2555420756233377,0.2057859236049489,7.660319403997606,2253,0.805192376900806,adjudicated_plus_high
is_author,0.523814707286566,0.4185427379288753,0.21074473444654906,1.6884563468334388,0.7433940246231029,3.8349579640588405,2253,0.3746573056827539,adjudicated_plus_high
source_negative,-0.16719420818610517,0.27031910937369175,0.5362413146335572,0.8460352884025336,0.4980675031952416,1.437105823267846,2253,0.5719907356091276,adjudicated_plus_high
is_author:source_negative,0.67882796653652,0.4168057046160869,0.10338847689040734,1.971565636666811,0.8710018183177195,4.462758834640575,2253,0.23631651860664535,adjudicated_plus_high
log_reply_length,1.786624693291487,0.20231583161733913,1.0386517583588797e-18,5.96927030694285,4.015193993116392,8.874337842315224,2253,8.309214066871038e-18,adjudicated_plus_high
e0,0.6573049752467552,0.23752354191691824,0.005651827829057324,1.9295850412122344,1.211378337363338,3.0736049312009963,2253,0.022607311316229298,adjudicated_plus_high
e1,-0.7217716122730609,0.4313846610939642,0.09429760330982173,0.48589068310124334,0.2086106781731686,1.1317242146569972,2253,0.23631651860664535,adjudicated_plus_high
e2,-0.47837071517171015,0.5346589108360971,0.3709360901270715,0.6197923879462556,0.21733785941518274,1.7674905108101315,2253,0.494581453502762,adjudicated_plus_high
e3,-0.6104456580865717,0.25653315137832305,0.01733155508110095,0.5431087743156013,0.32848942452972646,0.8979501886883483,2253,0.055460976259523044,adjudicated_plus_high
e4,0.30898939665981096,0.30667097326630804,0.3136657542271678,1.3620479281693174,0.7467045324815077,2.4844827879443385,2253,0.494581453502762,adjudicated_plus_high
e5,1.255836156244431,0.44168857788398463,0.004465440727791197,3.51077270191094,1.477167708163504,8.344025459239703,2253,0.022607311316229298,adjudicated_plus_high
e6,-1.3917252722091014,0.9401576697192919,0.13879040179405472,0.24864595241183965,0.039382477115829775,1.5698557881200508,2253,0.27758080358810944,adjudicated_plus_high
e7,-0.18032255765797917,0.23081024371406783,0.4346502364651147,0.835000832055622,0.5311500937047278,1.3126730048572242,2253,0.5295639454374058,adjudicated_plus_high
e8,0.4363858581882237,0.4791959536324068,0.3624731480893829,1.5471056429729733,0.604811638390582,3.957489768034345,2253,0.494581453502762,adjudicated_plus_high
e9,-0.27166666643302295,0.37046556634017935,0.46336845225773005,0.7621082550182026,0.36869734436753454,1.5753001784246983,2253,0.5295639454374058,adjudicated_plus_high
