term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,strategy,scope
Intercept,-6.798880370462269,1.423580402870063,1.7890358501138933e-06,0.0011150228617570544,6.847115747758524e-05,0.01815765978029349,1010,9.541524533940765e-06,公共价值回应,adjudicated
C(reply_source_type)[T.browser],-19.746074139291686,0.7239473824262572,8.269717774611808e-164,2.6569841400876537e-09,6.429134469944412e-10,1.098058339529235e-08,1010,6.615774219689447e-163,公共价值回应,adjudicated
is_author,0.941163031268211,0.942075538284501,0.31777948706846837,2.562960488805083,0.4044185090296142,16.24249711749712,1010,0.4622247084632267,公共价值回应,adjudicated
source_negative,0.6712116037521585,0.4991361025632286,0.17870706286767413,1.9566065168799311,0.7355806017336134,5.204472566125959,1010,0.31770144509808734,公共价值回应,adjudicated
is_author:source_negative,0.6365150783856645,0.7588111015687972,0.4015635580135888,1.8898832948070243,0.4270924918382846,8.362729236043409,1010,0.5354180773514517,公共价值回应,adjudicated
log_reply_length,0.8417243255320888,0.30663093161224136,0.006049741824111064,2.3203645931062824,1.272174574458657,4.232195763881189,1010,0.019359173837155404,公共价值回应,adjudicated
e0,0.22447612812016565,0.38954313042699634,0.5644429185955853,1.251666831351186,0.5833147213395576,2.6858054483982974,1010,0.6450776212520974,公共价值回应,adjudicated
e1,-2.3300812283057537,1.219413075383554,0.05602747037303056,0.09728784424181146,0.008914012019647964,1.0618029924524106,1010,0.12806278942406985,公共价值回应,adjudicated
e2,-0.1816719766766862,0.6128243958277608,0.7668862159335983,0.833874825950102,0.25087316344280247,2.7717082840223677,1010,0.7668862159335983,公共价值回应,adjudicated
e3,-0.9167441836223079,0.5203833281381889,0.07812491150821879,0.3998186604182213,0.14417960397161247,1.1087210452464193,1010,0.15624982301643758,公共价值回应,adjudicated
e4,-0.7827823830638029,0.6237019322818064,0.20945754080785028,0.45713232294918227,0.13462822742662167,1.5522001936689935,1010,0.33513206529256045,公共价值回应,adjudicated
e5,1.7906729857807435,0.5195194564648471,0.0005672953425467325,5.993484639372788,2.164988070136355,16.59217370197108,1010,0.00226918137018693,公共价值回应,adjudicated
e6,-21.454721609113637,0.6520381625746529,1.920963771834808e-237,4.812079507958474e-10,1.3406231218477032e-10,1.7272646438470449e-09,1010,3.0735420349356926e-236,公共价值回应,adjudicated
e7,-0.17099911500403703,0.3359024808744041,0.6107005736217974,0.84282231936564,0.4363249663826294,1.6280284575738564,1010,0.6514139451965839,公共价值回应,adjudicated
e8,0.3025731121121474,0.4015150783343842,0.4511023858007718,1.3533366181028064,0.6160689182546384,2.9729141458503565,1010,0.5552029363701807,公共价值回应,adjudicated
e9,-1.3883353954732731,0.534147922471553,0.009345246807859845,0.2494902617852147,0.08757450838870202,0.7107706554215177,1010,0.02492065815429292,公共价值回应,adjudicated
