term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,scope
Intercept,-8.302373455359866,0.945438941835081,1.6130663951080155e-18,0.0002479276829428921,3.886432662794667e-05,0.00158160815592854,1010,2.5809062321728248e-17,adjudicated
C(reply_source_type)[T.browser],-0.4792763791993434,1.0384505597986882,0.6444182010849581,0.6192313183845017,0.0808920704503346,4.74023502592425,1010,0.7364779440970949,adjudicated
is_author,0.04342066169663153,0.38126758024615737,0.9093289495606982,1.0443771319152657,0.49467030165743314,2.204950630779729,1010,0.9093289495606982,adjudicated
source_negative,-0.16976048233690152,0.2876521577136054,0.5550841205813029,0.843866913423607,0.48019706298064935,1.4829565244545893,1010,0.7315485390244567,adjudicated
is_author:source_negative,0.661061174298068,0.43183158367986774,0.1258111663481071,1.936846576060851,0.8308311200791823,4.515207204613517,1010,0.2878700307310474,adjudicated
log_reply_length,1.642159348895997,0.22104339658192979,1.0931718708509251e-13,5.166313349215531,3.3498457218433813,7.967768022341925,1010,8.745374966807401e-13,adjudicated
e0,0.3494156226754769,0.240473099109264,0.14621427538146156,1.418238519952255,0.8852265734182073,2.272187211585341,1010,0.2878700307310474,adjudicated
e1,-0.6064945329144454,0.40995204879698766,0.1390259656648581,0.5452589099953898,0.24414314922707883,1.2177580238093575,1010,0.2878700307310474,adjudicated
e2,-0.5227161975926807,0.5511726504989805,0.3429405806503548,0.5929079038105615,0.20128879872469452,1.7464448326398923,1010,0.4988226627641525,adjudicated
e3,-0.5065917631998693,0.28445632102271845,0.07492677760980943,0.6025457016097394,0.3450292260313455,1.0522625190463994,1010,0.2878700307310474,adjudicated
e4,-0.17540994182857325,0.32941142028613624,0.5943831879573711,0.8391129627498097,0.43996666091451503,1.600372543663192,1010,0.7315485390244567,adjudicated
e5,0.6612270416834666,0.4013912719369006,0.09948861869912345,1.937167862383065,0.8820558955773928,4.254400821836029,1010,0.2878700307310474,adjudicated
e6,-1.4313310900357077,0.9398460746641021,0.12777320895421343,0.23899059243172177,0.037876311208808904,1.5079742838732861,1010,0.2878700307310474,adjudicated
e7,-0.33956910901833975,0.24278864144355408,0.16192689228621415,0.7120770842613369,0.4424468891543095,1.1460217855736465,1010,0.2878700307310474,adjudicated
e8,0.06267591797211079,0.5297793837954331,0.9058254454698851,1.064681739096887,0.3769315495246302,3.007302538076085,1010,0.9093289495606982,adjudicated
e9,-0.5121046940234233,0.40483229235287116,0.2058785497901292,0.5992330484425659,0.27101638815476103,1.3249392362971106,1010,0.32940567966420675,adjudicated
