term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,scope
Intercept,-11.33276898462498,0.8555833770445744,4.780422081451185e-40,1.1974047187664841e-05,2.2384824404534435e-06,6.405134275852556e-05,5411,7.648675330321897e-39,full_hybrid
C(reply_source_type)[T.browser],0.9358456410044504,0.9279430150744777,0.31320667443165384,2.5493683969100043,0.4135724085254695,15.714972974951817,5411,0.3854851377620355,full_hybrid
is_author,0.8688796572031126,0.4420921248002436,0.049370105903302215,2.3842381925704954,1.0023819248810673,5.671083663630808,5411,0.09874021180660443,full_hybrid
source_negative,-0.2659637350328211,0.24731657477377242,0.2821966037120862,0.766466922894819,0.4720340191188776,1.2445534010206645,5411,0.3854851377620355,full_hybrid
is_author:source_negative,0.9705142653805172,0.42038119292450066,0.020962849247607683,2.6393014117522404,1.1578526516725043,6.016233526792199,5411,0.05590093132695382,full_hybrid
log_reply_length,1.923858017427737,0.1875567941693823,1.0954008539460447e-24,6.847324673874007,4.740993442897004,9.889457927786962,5411,8.763206831568358e-24,full_hybrid
e0,0.7313093740441119,0.22347767448363426,0.001066368464932524,2.0777994439596377,1.340835774778385,3.2198205108545377,5411,0.005470570014744657,full_hybrid
e1,-0.8711532138741267,0.41490881450774936,0.03576177938722585,0.41846868698370404,0.18556046553152253,0.9437141768547517,5411,0.0817412100279448,full_hybrid
e2,-0.4834154919319884,0.5105527292782666,0.34371657661810195,0.6166735472533497,0.22670654722483327,1.6774383825134318,5411,0.3928189447064022,full_hybrid
e3,-0.6204234569740796,0.23716997406126009,0.008898105496195824,0.5377166894950715,0.33780833311339664,0.8559268964643328,5411,0.028473937587826636,full_hybrid
e4,0.3063304387353168,0.29837450541039034,0.3045785872386533,1.358431110650897,0.7569306874658549,2.4379181779011607,5411,0.3854851377620355,full_hybrid
e5,1.5016497681136853,0.46906117639878314,0.0013676425036861643,4.489088920401732,1.790132899043057,11.257219699188873,5411,0.005470570014744657,full_hybrid
e6,-1.4541744314266278,0.8430877416725759,0.08455995202338999,0.23359313146707533,0.04475167498609518,1.2193007543415635,5411,0.15032880359713777,full_hybrid
e7,-0.14347938169729277,0.23327918099158834,0.5385188092156621,0.8663386624358885,0.5484239956864394,1.368544563940499,5411,0.5385188092156621,full_hybrid
e8,0.4187069502669606,0.4113209641894024,0.3086985121910687,1.519994855430045,0.678763757173191,3.4038122043459285,5411,0.3854851377620355,full_hybrid
e9,-0.20376143691171328,0.30780168368513033,0.5079780462511643,0.8156569336157289,0.44617111396897474,1.4911235006613988,5411,0.5385188092156621,full_hybrid
