ability_type,ability_property,n,share_within_type
事实核查与证据,未明确,75,0.9868421052631579
事实核查与证据,新闻专业独特,1,0.013157894736842105
伦理责任与公共判断,未明确,43,0.9772727272727273
伦理责任与公共判断,大学教育通用,1,0.022727272727272728
信息搜集整理,未明确,29,0.9354838709677419
信息搜集整理,AI辅助强化,1,0.03225806451612903
信息搜集整理,可跨职业迁移,1,0.03225806451612903
基础内容生产,未明确,696,0.9613259668508287
基础内容生产,大学教育通用,8,0.011049723756906077
基础内容生产,可跨职业迁移,7,0.009668508287292817
基础内容生产,可由AI替代,7,0.009668508287292817
基础内容生产,新闻专业独特,4,0.0055248618784530384
基础内容生产,AI辅助强化,2,0.0027624309392265192
平台运营与商业传播,未明确,719,0.9676985195154778
平台运营与商业传播,可跨职业迁移,11,0.014804845222072678
平台运营与商业传播,大学教育通用,7,0.009421265141318977
平台运营与商业传播,可由AI替代,2,0.0026917900403768506
平台运营与商业传播,新闻专业独特,2,0.0026917900403768506
平台运营与商业传播,AI辅助强化,2,0.0026917900403768506
社会解释与议题发现,未明确,119,1.0
采访与信源关系,未明确,221,0.9954954954954955
采访与信源关系,新闻专业独特,1,0.0045045045045045045
