term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,property
Intercept,-27.30141843312566,,,1.3904155826809446e-12,,,1959,,可由AI替代
C(ability_type)[T.伦理责任与公共判断],1.1012808470560977,,,3.008016366477786,,,1959,,可由AI替代
C(ability_type)[T.信息搜集整理],-0.8530104222120233,,,0.4261301673560513,,,1959,,可由AI替代
C(ability_type)[T.基础内容生产],21.258468503821383,,,1707794320.5217621,,,1959,,可由AI替代
C(ability_type)[T.平台运营与商业传播],20.700626106742163,,,977614625.3578818,,,1959,,可由AI替代
C(ability_type)[T.社会解释与议题发现],-0.1463718391121177,,,0.8638364352852478,,,1959,,可由AI替代
C(ability_type)[T.采访与信源关系],0.09964556695970607,,,1.1047792783962307,,,1959,,可由AI替代
C(source_type)[T.browser],-0.25456256078176825,0.658543591798544,0.6990865292253935,0.7752555509802812,0.21324618113260171,2.8184381363059887,1959,0.6990865292253935,可由AI替代
ai_context,3.8230692462851668,0.7493755818530412,3.3666390292549553e-07,45.74439388979499,10.530682152412677,198.70978366442216,1959,1.0099917087764866e-06,可由AI替代
is_reply,-0.5983301219672914,0.7810171539643718,0.443622226709951,0.549728850193936,0.1189414714118247,2.5407606375508753,1959,0.6654333400649265,可由AI替代
