term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,property
Intercept,-26.73709115720784,,,2.444718439729165e-12,,,1959,,可跨职业迁移
C(ability_type)[T.伦理责任与公共判断],0.09013919379117595,,,1.0943265965722233,,,1959,,可跨职业迁移
C(ability_type)[T.信息搜集整理],23.026774190656585,,,10009236870.524998,,,1959,,可跨职业迁移
C(ability_type)[T.基础内容生产],21.830935539435227,,,3027295668.942953,,,1959,,可跨职业迁移
C(ability_type)[T.平台运营与商业传播],22.36890806990692,,,5184338390.99614,,,1959,,可跨职业迁移
C(ability_type)[T.社会解释与议题发现],-0.12192918959687167,,,0.8852110484345986,,,1959,,可跨职业迁移
C(ability_type)[T.采访与信源关系],-0.13642186937047587,,,0.8724744845774506,,,1959,,可跨职业迁移
C(source_type)[T.browser],0.5503911506100941,0.5906318551396247,0.3514045500342742,1.733931113452887,0.5448486194039758,5.518077864433017,1959,0.7760150870949398,可跨职业迁移
ai_context,0.47152383527303887,0.8236139288353256,0.5669792885064783,1.6024341794019967,0.31893770887662176,8.051087180503574,1959,0.7760150870949398,可跨职业迁移
is_reply,-0.17187316003714656,0.6040899246742013,0.7760150870949398,0.8420859765488732,0.257717974924892,2.7514914010438285,1959,0.7760150870949398,可跨职业迁移
