term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,property
Intercept,-26.100799266748634,506.6862348874335,0.958916945580156,4.61920147469545e-12,0.0,inf,1959,0.9999842987121693,大学教育通用
C(ability_type)[T.伦理责任与公共判断],22.87301246243388,618.1212758306642,0.9704817483154866,8582683488.411225,0.0,inf,1959,0.9999842987121693,大学教育通用
C(ability_type)[T.信息搜集整理],0.06254841915853414,593.864386913225,0.9999159632755277,1.0645460020916528,0.0,inf,1959,0.9999842987121693,大学教育通用
C(ability_type)[T.基础内容生产],22.065842149207704,595.7738775715012,0.9704552833497048,3828895239.09768,0.0,inf,1959,0.9999842987121693,大学教育通用
C(ability_type)[T.平台运营与商业传播],21.83100912434783,584.9088632832991,0.9702268458321305,3027518440.426383,0.0,inf,1959,0.9999842987121693,大学教育通用
C(ability_type)[T.社会解释与议题发现],0.01098810615246296,558.3771436788488,0.9999842987121693,1.01104869711415,0.0,inf,1959,0.9999842987121693,大学教育通用
C(ability_type)[T.采访与信源关系],0.08019074944264325,626.1745808118193,0.9998978192940351,1.0834937237884827,0.0,inf,1959,0.9999842987121693,大学教育通用
C(source_type)[T.browser],-1.0090561834067697,0.7404830130699905,0.172977085725607,0.3645628977603291,0.08540053709626566,1.5562678051262488,1959,0.9999842987121693,大学教育通用
ai_context,0.032782709410421315,1.0907395696684836,0.9760228005741654,1.0333259828331551,0.12183752950648773,8.763823356589384,1959,0.9999842987121693,大学教育通用
is_reply,-0.6221966415612318,0.6244467293185948,0.31905745043904343,0.5367640633895707,0.15784965793191627,1.825253621206789,1959,0.9999842987121693,大学教育通用
