term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,property
Intercept,-4.331441870299774,0.861245268206335,4.923301790366727e-07,0.01314857527545625,0.0024309270411059253,0.07111897183705158,1959,1.2308254475916818e-06,新闻专业独特
C(ability_type)[T.伦理责任与公共判断],-21.05367791572782,0.8504026610842569,2.5866905076793496e-135,7.186275412473755e-10,1.3571457735595566e-10,3.805232666235656e-09,1959,2.586690507679349e-134,新闻专业独特
C(ability_type)[T.信息搜集整理],-21.493639717848637,1.2088645312868191,1.0093776801258403e-70,4.6283998892506006e-10,4.32936908594344e-11,4.948084838589536e-09,1959,3.3645922670861344e-70,新闻专业独特
C(ability_type)[T.基础内容生产],-1.0325417963496943,0.9877576491024436,0.295866223681994,0.35610067386601346,0.05137791908585562,2.4681359654898745,1959,0.42266603383142004,新闻专业独特
C(ability_type)[T.平台运营与商业传播],-1.580823889594747,1.1120899756123979,0.15517459113312645,0.2058054673528378,0.02327163035035255,1.820065451137519,1959,0.2586243185552108,新闻专业独特
C(ability_type)[T.社会解释与议题发现],-21.28207628313003,1.063659014231208,4.656864930467276e-89,5.718889520723101e-10,7.110610263952173e-11,4.5995626445792904e-09,1959,2.328432465233638e-88,新闻专业独特
C(ability_type)[T.采访与信源关系],-1.0585713603844649,1.4874543826038207,0.47667135601225397,0.34695112455424354,0.01879842949213759,6.403464868158314,1959,0.5958391950153175,新闻专业独特
C(source_type)[T.browser],-0.1970137536433298,0.8995284636432046,0.8266353086348222,0.8211793390272505,0.14084580868690091,4.787757002725401,1959,0.8266353086348222,新闻专业独特
ai_context,1.5232943966964687,1.0041440510896575,0.12926470495134923,4.58731275728248,0.6409345435391435,32.83242968451648,1959,0.25852940990269846,新闻专业独特
is_reply,-0.24811412460662402,1.0162686444486577,0.8071206431056458,0.7802708900881593,0.10645843329416602,5.718876777349045,1959,0.8266353086348222,新闻专业独特
