term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh
Intercept,-2.2844455002699204,0.12383877033945201,5.518971351660508e-76,0.10183051144537604,0.07988481533543966,0.12980505766565395,21779,1.2693634108819168e-74
C(source_type)[T.browser],0.579853202623464,0.09088474115722228,1.7697918052491471e-10,1.7857762642371957,1.4943915140182027,2.133976830033117,21779,1.3568403840243463e-09
e0,0.09392791429834466,0.055355329387591856,0.08973109168439196,1.09848055832126,0.985537076279671,1.2243674703389515,21779,0.12898844429631345
e1,0.0036818998745819184,0.1092346528552591,0.9731113267206872,1.0036886863944645,0.8102454765803273,1.2433157707315796,21779,0.9731113267206872
e2,0.16516998868973648,0.09534149610976053,0.08320165730220858,1.179593619243253,0.9785343933731423,1.4219644357751273,21779,0.12757587453005315
e3,0.28679671429828657,0.06596428955707949,1.3753674391143561e-05,1.3321533782138604,1.1705886088197293,1.5160173349678425,21779,3.51482789995891e-05
e4,0.3867761041669435,0.07547199627795466,2.97912028081382e-07,1.47222682891719,1.2697893130373143,1.7069381617325612,21779,9.788538065531123e-07
e5,0.7289816551242911,0.13177631763661582,3.1666751107832335e-08,2.072968535562044,1.601114697413985,2.683879272591025,21779,1.2138921258002395e-07
e6,0.4203963941976408,0.1077043894663129,9.491236142112547e-05,1.5225649719357757,1.2328095983961365,1.8804234626188274,21779,0.00019845311933508052
e7,0.10054727937037974,0.05772434520792521,0.08153430481659056,1.1057759208575242,0.9874865157496493,1.2382350215891949,21779,0.12757587453005315
e8,0.5096202058127052,0.08195242578289187,5.019671765067527e-10,1.6646588471185082,1.4176399065822796,1.9547199993619022,21779,2.8863112649138283e-09
e9,0.21763006672881344,0.05422804390255674,5.989137714019742e-05,1.2431271084694742,1.1177783515829196,1.3825325974717957,21779,0.00013775016742245406
o0,-0.23815286656151474,0.09453920066859346,0.011765818394753857,0.7880822104675704,0.6547841105627134,0.9485165574981791,21779,0.022551151923278227
o1,0.12616494381413132,0.10289103780180539,0.22012359220554334,1.1344692765409135,0.9272783486309959,1.3879549126919433,21779,0.2664654010909209
o2,0.005734445138156098,0.06773833246904452,0.9325350079434628,1.0057509185422349,0.8807048849654221,1.148551492578883,21779,0.9731113267206872
o3,0.08463137927673704,0.05826309781996286,0.1463424592303375,1.088315816984867,0.9708684561225489,1.2199709549013633,21779,0.18699314234987569
o4,0.09161125690433779,0.058882585427013585,0.11974866768034277,1.095938700657153,0.9764823432163082,1.2300085546268071,21779,0.16201290333222845
o5,0.337705649592675,0.0770084055424412,1.1582127699586252e-05,1.4017278435132994,1.205349027921343,1.6301012418526326,21779,3.329861713631048e-05
o6,0.5069972739042761,0.09153354615092553,3.043372192233657e-08,1.6602982815450174,1.3876220454411734,1.9865570691657046,21779,1.2138921258002395e-07
is_reply,-0.1983150611729249,0.08815236734600776,0.02446894647564232,0.8201114271618024,0.6899792866625215,0.9747868754360709,21779,0.04329121299536718
is_note_author,0.11144743203695674,0.2247867520069175,0.6200412994131101,1.1178949769990763,0.7195461579509802,1.7367741677037787,21779,0.6790928517381682
is_reply:is_note_author,-0.3509139310721732,0.29772442982686276,0.238536192424031,0.7040443475901043,0.3928003491871792,1.2619093755880861,21779,0.2743166212876357
log_text_length,0.4716471731892935,0.044035467998776286,9.075178037818152e-27,1.6026318324834286,1.4701106291905934,1.7470989866274929,21779,1.0436454743490874e-25
