term,coef,se,p_value,irr,ci_low,ci_high,n,p_fdr_bh
Intercept,-1.5056493567565894,0.6356390643221878,0.01784988307100118,0.2218731722003618,0.06383191855987219,0.7712082865890592,9458,0.0513184138291284
C(source_type)[T.browser],3.130716849759126,0.29986781318275446,1.6225754432759502e-25,22.8903826277375,12.717461061696248,41.200803706202976,9458,3.731923519534686e-24
e0,-0.6207605209618865,0.201163216277074,0.0020296776027654726,0.537535475105538,0.36238778005931577,0.7973347968566764,9458,0.009336516972721174
e1,-0.6989445863369329,0.2544176126042615,0.0060100331111041265,0.49710968337592293,0.3019170080844235,0.8184965758438159,9458,0.023038460259232486
e2,0.44924438534587646,0.216212581359956,0.03772868570467254,1.5671275934244961,1.0257947991121255,2.3941327214742585,9458,0.09641775235638538
e3,0.4313850542393946,0.26966104202321617,0.10965833270118139,1.5393881837977017,0.9074193492646792,2.6114893652381,9458,0.16814277680847814
e4,0.6789475510151044,0.25779960545273556,0.008447867059722187,1.9718014194131641,1.1896514015422914,3.268184976337837,9458,0.027757277481944325
e5,0.5332102391836664,0.3205911217453666,0.09627048176995086,1.7043950513500392,0.9092380304188133,3.1949416917024673,9458,0.1581586486220621
e6,-0.21410264444560076,0.4236291153558914,0.6132771073749151,0.8072655194482123,0.3518973692446528,1.8518968194869352,9458,0.7052686734811524
e7,0.04505003638905568,0.2479459930766105,0.855823706988386,1.0460802006751388,0.6434415354718022,1.7006732172522214,9458,0.8947247845787671
e8,1.197297032393086,0.25364350847799716,2.35389450568099e-06,3.3111548717663757,2.0140663855144765,5.443587492286957,9458,2.0296260750386842e-05
e9,0.09839681728907089,0.34448080198404357,0.7751553734961079,1.1034005466607726,0.5617010250158637,2.1675103162521503,9458,0.8489796947814515
o0,-0.24722622717300527,0.353593543029155,0.4844383218395758,0.780963998267948,0.39052254741498976,1.56176582025248,9458,0.586425336963697
o1,-0.515009765779501,0.2982355312771788,0.08419355885945252,0.5974947595876706,0.3330204408063425,1.0720062314202818,9458,0.14895783490518524
o2,-0.2584116205686947,0.28560208695107187,0.3655734809902008,0.7722772814601196,0.44122880274524956,1.351707313186852,9458,0.46712167015414546
o3,-1.1076565177134754,0.23585020027727616,2.64733835874611e-06,0.3303321823241127,0.20806122112487827,0.5244578979641644,9458,2.0296260750386842e-05
o4,-0.4384532472358806,0.2298582671347379,0.05645665749839234,0.6450333570055826,0.41107670537361246,1.0121420800814842,9458,0.1298503122463024
o5,-0.41205102424643,0.22835776999888735,0.0711670699384716,0.6622904823172017,0.4233177273332506,1.0361689450880183,9458,0.13640355071540392
o6,-0.9598747146618151,0.2350858470588981,4.444239403233368e-05,0.3829408598449685,0.24155865080545785,0.6070728647052475,9458,0.00025554376568591864
is_reply,0.001077006707097281,0.30153054107591376,0.9971501221958116,1.001077586887088,0.5543700506267336,1.8077389531319463,9458,0.9971501221958116
is_note_author,-0.4988806616416643,0.4780923121256957,0.2967251716324809,0.6072099528540664,0.23789126168077823,1.5498842800699186,9458,0.4265424342216913
is_reply:is_note_author,-0.6913762754423419,0.690793211586864,0.3169022095760423,0.5008862370480526,0.12933737608160306,1.9397874772553394,9458,0.4287500482499396
log_text_length,0.30752397338622245,0.1702812661307981,0.07092200270443814,1.3600534131968944,0.9741136403935333,1.8989009187893537,9458,0.13640355071540392
