term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh
Intercept,-2.0144730154795574,0.19643442081347598,1.1215103343469793e-24,0.13339067967041832,0.09076473224053828,0.19603510067965835,14255,1.1775858510643283e-23
C(source_type)[T.browser],-3.927358414234499,0.3651845702985654,5.647120345936645e-27,0.019695631595783376,0.009627610911898914,0.04029222903860673,14255,1.1858952726466956e-25
e0,-0.010993793210690649,0.1173924565009895,0.925387259829008,0.9890664176831847,0.7857763979911228,1.244950066061541,14255,0.9944449996125513
e1,-0.35305195968338643,0.24117891031007435,0.14323243112731118,0.7025406886371147,0.4379009113950597,1.1271121076645458,14255,0.25065675447279456
e2,-0.06315388162602628,0.141889841277989,0.656254042064264,0.9387989986569667,0.7108754996203918,1.2398001624053183,14255,0.8613334302093465
e3,-0.2365444625112679,0.10668258834882195,0.026604416294960905,0.789350785003545,0.6404127839106266,0.9729266458126585,14255,0.062076971354908785
e4,-0.3579236354551568,0.14445281203825797,0.013219917853591725,0.6991264614421001,0.5267384533702798,0.9279326503716591,14255,0.039659753560775175
e5,-0.5562963865236317,0.19516551724361036,0.004366667294233981,0.5733285238431327,0.3910887352696485,0.8404885301171078,14255,0.019178520529580956
e6,-0.3743599242279703,0.2161273278850469,0.08325099885038988,0.6877293368269214,0.4502422593880834,1.0504825588233428,14255,0.15893372507801704
e7,-0.22280625985874858,0.11617368383682312,0.05512723848959516,0.800269878675696,0.6373051599094832,1.0049061564268114,14255,0.11576720082814984
e8,-0.3968989016643664,0.13994358728759734,0.0045663144118049896,0.6724020009196748,0.5111008588837489,0.8846090609752216,14255,0.019178520529580956
e9,-0.0009442417299553046,0.13562371899221667,0.9944449996125513,0.9990562039259869,0.7658517001252251,1.3032722894521236,14255,0.9944449996125513
o0,-0.12484723774112913,0.1401210642588301,0.3729315842650617,0.8826317251025148,0.6706656692131643,1.1615903391497913,14255,0.5593973763975926
o1,-0.1218749423967277,0.1871574686277212,0.5149242917296173,0.8852590699580175,0.6134211297825671,1.277562155742366,14255,0.7208940084214642
o2,-0.32073170291349395,0.11924813415124533,0.007153425655545936,0.7256179060463902,0.5743834663626772,0.9166721822781223,14255,0.025036989794410776
o3,-0.025180275839228834,0.12072061054604706,0.8347737262543086,0.9751341030629641,0.7696705810367865,1.2354461017277256,14255,0.9739026806300267
o4,-0.24089971458798276,0.10808807645131815,0.025831520161032046,0.7859204387914293,0.635875592258474,0.9713707266484268,14255,0.062076971354908785
o5,0.04295852846187781,0.13136701491252128,0.7436591649950954,1.043894602038125,0.8069280106971707,1.3504500100608,14255,0.918637792052765
o6,-0.17319063839984933,0.16422283870911097,0.29160486937155194,0.8409772769994368,0.6095298222182396,1.1603087406872805,14255,0.4710540197540454
is_note_author,0.004571244372367329,0.24791503731380923,0.9852888365136412,1.0045817084484638,0.6179534000837675,1.63310762399306,14255,0.9944449996125513
log_text_length,0.4406447337329015,0.06079532674040104,4.2296005959856735e-13,1.5537086240176963,1.3791755503031071,1.7503286567227976,14255,2.9607204171899717e-12
