term,coef,se,p_value,irr,ci_low,ci_high,n,p_fdr_bh
Intercept,0.35776632037054396,0.16234135821876253,0.027539090804807834,1.4301313888568365,1.0403708730253802,1.9659102752905393,2323,0.14458022672524112
C(source_type)[T.browser],1.3242008187751133,0.4185101103776717,0.001555723030539093,3.7591798882159275,1.6551986013328894,8.53760595289739,2323,0.016335091820660477
e0,0.08255898340125467,0.09963561670012404,0.40732561020396985,1.0860627312237285,0.8933946795804208,1.3202812632677723,2323,0.5346148633927105
e1,-0.006239122050345269,0.12759795174246977,0.9610015982300562,0.9937803008566786,0.7738856870377003,1.276156547294664,2323,0.9849863636416767
e2,0.33855661463215486,0.172023538501011,0.049058479894955175,1.4029211725716377,1.0013914463345568,1.9654529940854155,2323,0.17060240339156202
e3,0.2415012328470886,0.11498340265661874,0.03570124192758192,1.273159024526956,1.016264615568935,1.5949919704987303,2323,0.14994521609584407
e4,0.04580806670211722,0.13881095781923886,0.7413975092126625,1.0468734617971478,0.7975095969331315,1.3742079709506438,2323,0.8649637607481062
e5,-0.21828195641229575,0.1365599017070727,0.10994647748093496,0.8038987453027402,0.6151191046935245,1.0506147309817464,2323,0.25654178078884826
e6,-0.19732004172518444,0.18241599308559006,0.27938424007650375,0.8209278600971067,0.5741552848379471,1.1737635606259842,2323,0.41907636011475563
e7,-0.08667899875079708,0.0889961282938325,0.3300745612932964,0.91697139735905,0.7701951072388771,1.0917188848277402,2323,0.4621043858106149
e8,0.21396690112738428,0.11595127747273928,0.0649913917682141,1.2385816584584524,0.9867904198050327,1.5546204076168377,2323,0.17060240339156202
e9,0.02959456564527874,0.11408216340071202,0.795315454888248,1.03003683696455,0.8236525714138045,1.2881352190557283,2323,0.879032871192274
o0,0.2170319055135565,0.1587718871895316,0.1716435955448673,1.2423837403966926,0.9101362245401227,1.6959190468239975,2323,0.3003762922035178
o1,0.1679621037863464,0.13046014056347582,0.1979342934229058,1.1828917826786856,0.9159992146127223,1.527548219700542,2323,0.3197400124523863
o2,-0.06609340740741905,0.12507641330334138,0.5972049237843018,0.9360434268182978,0.7325357180168623,1.196088156986733,2323,0.737723729380608
o3,0.41601714310695403,0.08231893103360836,4.3327800609082294e-07,1.5159118560868992,1.2900384682542332,1.7813335121196974,2323,9.098838127907282e-06
o4,0.16175894904586224,0.1117930064312259,0.14791078155798063,1.1755768332471621,0.9442584735772152,1.4635620749390257,2323,0.2823751284288721
o5,0.23543225370198026,0.12576811625424747,0.06121282982876938,1.2654556484177129,0.9889878286527416,1.6192090051237407,2323,0.17060240339156202
o6,-0.00255960267873445,0.13601947484804566,0.9849863636416767,0.9974436703110887,0.7640227036934552,1.3021784177801499,2323,0.9849863636416767
is_note_author,0.4176722982964884,0.2738947385021114,0.12727474154414617,1.5184230030580665,0.8876645297614567,2.5973871196987743,2323,0.26727695724270695
log_text_length,0.1292100340632143,0.04595735522767355,0.004930798951582628,1.137929102941152,1.0399094247946368,1.2451879100683894,2323,0.0345155926610784
