analysis,scope,feature,or,ci_low,ci_high,p,n
RQ1_negative,all,公共价值,1.3345473409022557,0.9283735968987502,1.918426602241599,0.11908839778386275,16533
RQ1_negative,all,招聘收入与市场结果,1.7835093898142422,1.5309024749831033,2.077797766700115,1.1258337278016512e-13,16533
RQ1_negative,all,身份情感,0.6978594630425886,0.5707951064199218,0.8532095399567227,0.00045130602500883653,16533
RQ1_negative,all,反讽或梗,2.346661521258607,1.893065918843943,2.908942705343649,7.053734976763211e-15,16533
RQ1_negative,api,公共价值,1.2834187626222453,0.8001249744281124,2.0586330547026384,0.3006481897178669,11913
RQ1_negative,api,招聘收入与市场结果,1.7689584397675204,1.453728514493159,2.1525435667166075,1.2238237212068709e-08,11913
RQ1_negative,api,身份情感,0.6631225636158664,0.5116626090477946,0.8594169802534923,0.001901550720803912,11913
RQ1_negative,api,反讽或梗,2.2804166774634393,1.7755340480191877,2.92886539047501,1.0727055221124866e-10,11913
RQ1_negative,browser,公共价值,1.478358204526654,1.0330376002825794,2.115647078376851,0.0325378644795965,4620
RQ1_negative,browser,招聘收入与市场结果,1.8113551729524962,1.482212273223196,2.213588176170569,6.387821078616668e-09,4620
RQ1_negative,browser,身份情感,0.8098917035925721,0.6441334379381066,1.0183054207645483,0.07111570862570314,4620
RQ1_negative,browser,反讽或梗,2.5947780435767704,1.7771777480557585,3.7885198049513567,7.89756579889698e-07,4620
RQ1_negative,exclude_top1,公共价值,1.3866002587333517,1.0147068426696373,1.8947938425851012,0.04020452473511768,13114
RQ1_negative,exclude_top1,招聘收入与市场结果,1.906882473252661,1.6229877241331019,2.2404363956236426,4.2240272780858864e-15,13114
RQ1_negative,exclude_top1,身份情感,0.6194291148879965,0.5145951693879987,0.7456199575818933,4.128778174915881e-07,13114
RQ1_negative,exclude_top1,反讽或梗,2.988837313257971,2.376698946879269,3.7586369518330542,7.674967066629173e-21,13114
RQ1_negative,exclude_top5,公共价值,1.5426162942995896,1.109882428827766,2.1440694704500807,0.009861100230065756,7815
RQ1_negative,exclude_top5,招聘收入与市场结果,1.8477607566187633,1.5654895280740564,2.1809279158198445,3.895707178658572e-13,7815
RQ1_negative,exclude_top5,身份情感,0.6570863152052003,0.5493718894083238,0.7859201279755288,4.282007499386217e-06,7815
RQ1_negative,exclude_top5,反讽或梗,3.1429830724380077,2.376983438851701,4.155831476219285,9.347039642603639e-16,7815
